1.000000 0.001171
0.998379 0.001749
0.993525 0.003482
0.985471 0.006370
0.974268 0.010399
0.959990 0.015535
0.942728 0.021709
0.922595 0.028800
0.899721 0.036635
0.874255 0.044989
0.846362 0.053658
0.816223 0.062450
0.784032 0.071169
0.750000 0.079702
0.714346 0.088089
0.677302 0.096438
0.639109 0.104582
0.600013 0.111970
0.560268 0.118059
0.520133 0.122804
0.479867 0.126406
0.439732 0.128999
0.399987 0.130571
0.360891 0.131098
0.322698 0.130368
0.285654 0.128132
0.250000 0.124311
0.215968 0.119141
0.183777 0.112909
0.153638 0.105625
0.125745 0.096959
0.100279 0.087073
0.077405 0.076302
0.057272 0.064284
0.040010 0.051949
0.025732 0.040257
0.014529 0.029058
0.006475 0.016703
0.001621 0.005445
0.000000 0.000000
0.001621 -0.004466
0.006475 -0.011169
0.014529 -0.017809
0.025732 -0.022185
0.040010 -0.025869
0.057272 -0.029617
0.077405 -0.032992
0.100279 -0.035391
0.125745 -0.037154
0.153638 -0.038293
0.183777 -0.038559
0.215968 -0.037736
0.250000 -0.035739
0.285654 -0.032690
0.322698 -0.028818
0.360891 -0.024416
0.399987 -0.019825
0.439732 -0.015367
0.479867 -0.011086
0.520133 -0.006946
0.560268 -0.003084
0.600013 0.000201
0.639109 0.002696
0.677302 0.004461
0.714346 0.005625
0.750000 0.006305
0.784032 0.006607
0.816223 0.006624
0.846362 0.006386
0.874255 0.005891
0.899721 0.005162
0.922595 0.004247
0.942728 0.003209
0.959990 0.002124
0.974268 0.001079
0.985471 0.000160
0.993525 -0.000558
0.998379 -0.001014
1.000000 -0.001171
