r/R,c/R,pitch (deg),airfoil,thickness/R
0.2,0.0713458755426917,8.18389341698488,n4415,0.0313921852387844
0.216326530612245,0.0766492133342897,8.53892725697798,n4415,0.0337256538670875
0.23265306122449,0.0819525511258876,8.8933017003308,n4415,0.0360591224953906
0.248979591836735,0.0872558889174855,9.2469915471517,n4415,0.0383925911236936
0.26530612244898,0.0926403313621736,9.57531987598751,n4415,0.0407617457993564
0.281632653061224,0.0980383716143358,9.90154774582501,n4415,0.0430107952930904
0.297959183673469,0.103436411866498,10.2271284482846,n4415,0.0395077031979779
0.314285714285714,0.108986004987068,10.4926692976963,n4415,0.0358889714722454
0.330612244897959,0.114573450160359,10.7429479791384,n4415,0.0327491905072802
0.346938775510204,0.12016089533365,10.9928125031597,n4415,0.0303215212571432
0.363265306122449,0.125564392389166,11.1804418273438,n4415,0.0284500746372006
0.379591836734694,0.130904558915428,11.3465690523893,n4415,0.0266359238589131
0.395918367346939,0.136244725441689,11.5125031897713,n4415,0.0245750396488454
0.412244897959184,0.140310402432629,11.6196982273559,n4415,0.0233915513856572
0.428571428571429,0.143527500725326,11.7002282840341,n4415,0.022183524150028
0.444897959183673,0.146744599018024,11.7807114876186,n4415,0.0208972990191886
0.461224489795918,0.148596398433074,11.8173927592235,n4415,0.0199258728240422
0.477551020408163,0.149651039471176,11.8173927592235,n4415,0.0190484187528645
0.493877551020408,0.150705680509278,11.8173927592235,n4415,0.0181566039741456
0.510204081632653,0.15176032154738,11.8007740951496,n4415,0.0175202087681303
0.526530612244898,0.151580189207408,11.7666978037252,n4415,0.0170198250428127
0.542857142857143,0.151070252881293,11.7326130669454,n4415,0.016484593376782
0.559183673469388,0.150066184009266,11.6744383309874,n4415,0.015900232793412
0.575510204081633,0.148603866603495,11.5938933251621,n4415,0.0154078048925265
0.591836734693878,0.147141549197723,11.513301832883,n4415,0.0149941314254855
0.608163265306122,0.145350337152221,11.446484079194,n4415,0.0145527371273657
0.624489795918367,0.143289918753459,11.402650851652,n4415,0.0140912490496793
0.640816326530612,0.141229500354696,11.3588040934611,n4415,0.0136371000654889
0.657142857142857,0.138980477864083,11.3149438497357,n4415,0.0131724144895871
0.673469387755102,0.136328808968284,11.2710701656813,n4415,0.012756368097092
0.689795918367347,0.133677140072485,11.2684954597852,n4415,0.0123664628486588
0.706122448979592,0.130950827893105,11.2798955090218,n4415,0.0119753566053545
0.722448979591837,0.128015051615614,11.2912946535036,n4415,0.011571100618343
0.738775510204082,0.125079275338122,11.3026928924359,n4415,0.0111730723966435
0.755102040816327,0.122004903677411,11.3014271227333,n4415,0.0107690385055859
0.771428571428571,0.118397854076508,11.2697167710357,n4415,0.0103341641140593
0.787755102040816,0.114790804475605,11.237999423376,n4415,0.00993341291310091
0.804081632653061,0.111189387376516,11.2062750968843,n4415,0.00953854433266949
0.820408163265306,0.107606051030842,11.1745438087153,n4415,0.00915060430027111
0.836734693877551,0.104022714685168,11.1240987512456,n4415,0.00876802819938219
0.853061224489796,0.100436503355077,11.0542413296521,n4415,0.00839057585064553
0.869387755102041,0.0964188232099275,10.9843506128762,n4415,0.00799446532600309
0.885714285714286,0.0924011430647775,10.9144267852474,n4415,0.00760565786634559
0.902040816326531,0.088337303910607,10.8471425935541,n4415,0.00721792134276388
0.918367346938776,0.0839503516932925,10.7985431075033,n4415,0.0068088765753459
0.934693877551021,0.0795633994759781,10.7499278910827,n4415,0.0064051194191743
0.951020408163265,0.0751764472586636,10.7012970066882,n4415,0.00600664987424906
0.96734693877551,0.0707894950413491,10.6526505168463,n4415,0.00561346794057019
0.983673469387755,0.0664025428240347,10.6039884842136,n4415,0.00522557361813768
1,0.0620155906067202,10.5553109715764,n4415,0.00484296690695155
